PC1,PC2,PC3,Sample Names
164.9895657,-65.74512705,9.128460655,A_100
-157.5558009,-46.70500267,8.268774998,A_50
-247.4016124,-67.1373521,-1.38271666,A_50
-115.1829555,-7.40443158,32.25145869,A_50
570.1603728,196.5488873,16.5548914,B_100
153.884001,29.27688411,-36.75194946,B_100
410.9189946,129.468172,-22.1853849,B_100
-145.1486333,65.65514437,10.99673539,B_50
-108.7491254,82.99647627,26.6648546,B_50
756.3414244,-125.8188812,19.78454461,D_100
534.3895834,-163.2013916,0.429983874,D_100
-21.76131039,-69.03718525,13.63264261,D_50
18.84289056,-16.53333619,33.68779904,D_50
14.82240481,-139.0727581,0.056116061,D_50
749.2040837,-293.5181731,28.11403356,M_100
763.3375957,-337.9274188,5.477715573,M_100
223.2309018,-154.3228627,13.86606161,M_50
296.7653396,-114.0509897,42.43355134,M_50
440.9125668,95.04756395,-37.39078352,T2_100
579.3829958,164.5232399,-15.62180959,T2_100
342.6999174,67.97210831,-41.67332296,T2_100
-255.6678735,115.0052789,64.42609956,T2_25
-329.3826458,57.93002788,21.73419833,T2_25
-377.9937382,9.23576802,15.21010214,T2_25
-31.77692215,123.1321049,25.41933096,T2_50
-99.6797817,102.5335744,23.64662108,T2_50
70.19294514,73.92908192,4.605201537,T2_75
256.237435,143.2224842,20.57140594,T2_75
412.927303,80.04247765,-49.87372551,T_100
536.0027643,122.7897435,-33.99133192,T_100
506.7750668,104.9725358,-37.06911872,T_100
-446.0462085,-26.31625692,-8.36620695,T_25
-392.2784785,0.948698747,-3.084440598,T_25
-388.8030096,10.74764047,12.04620442,T_25
-235.520156,23.47691846,-8.135742391,T_50
-255.9722314,25.9953831,0.419133048,T_50
-298.7129203,-5.854173813,-8.393731777,T_50
59.48734562,58.80291666,-18.18365525,T_75
55.137377,51.37028044,-22.77744923,T_75
110.2037989,80.45562602,-4.691495308,T_75
-501.0343626,-29.69854923,-7.535030946,V1_0
-765.9510914,-243.1393652,-94.05802299,V1_0
-532.1009506,-50.83693918,-13.72716806,V2_0
-435.3942144,19.82747216,16.45469616,V2_0
-408.3279448,-8.084732722,5.986122167,V2_0
-544.4271432,-53.94833641,-19.69711869,V_0
-510.1626986,-48.5090002,-3.510895927,V_0
-421.8148648,30.95577422,16.23436201,V_0
