Wave Number,A_100 c,A_50 a,A_50 b,A_50 c,B_100 a,B_100 b,B_100 c,B_50 b,B_50 c,D_100 a,D_100 c,D_50 a,D_50 b,D_50 c,M_100 b,M_100 c,M_50 a,M_50 c,T2_100 a,T2_100 b,T2_100 c,T2_25 a,T2_25 b,T2_25 c,T2_50 b,T2_50 c,T2_75 b,T2_75 c,T_100 a,T_100 b,T_100 c,T_25 a,T_25 b,T_25 c,T_50 a,T_50 b,T_50 c,T_75 a,T_75 b,T_75 c,V1_0 a,V1_0 b,V2_0 d,V2_0 e,V2_0 f,V_0 a,V_0 b,V_0 c
128.4758,76.83367,62.44962,58.49065,67.22707,106.5747,79.60534,99.52608,73.52809,74.15701,98.74668,86.9759,69.40148,74.80666,68.46375,86.98736,86.6,75.10264,79.39824,97.15835,104.7994,91.47803,67.44435,64.33535,56.41229,78.18623,75.5536,76.50187,90.52651,95.8,104,98.7,54.8,58.9,58.3,66.7,64.7,59.8,80.2,80.3,82.6,52.99481,26.6604,50.91921,58.05882,58.4429,49.9,49,58.1
129.4401,74.94725,60.8501,56.94841,65.46923,104.1845,77.77368,97.24191,71.64086,72.11435,96.59845,85.1798,67.76846,72.98906,66.89405,85.23777,85,73.50223,77.63358,95.00579,102.391,89.3056,65.69215,62.62004,54.87069,76.19825,73.53615,74.62732,88.37654,93.7,102,96.5,53.5,57.4,56.7,65,63.1,58.3,78.4,78.5,80.6,51.57719,25.85518,49.43395,56.39816,56.69548,48.5,47.7,56.5
130.4043,73.14064,59.3572,55.54927,63.84832,101.8666,76.05711,95.06792,69.86754,70.1507,94.58648,83.48853,66.21306,71.23375,65.41522,83.6028,83.4,72.02779,75.94104,93.00726,100.1631,87.24782,64.00452,60.97805,53.39997,74.32832,71.62495,72.86092,86.3563,91.6,99.7,94.4,52.2,55.9,55.2,63.4,61.6,56.8,76.6,76.7,78.6,50.21684,25.17088,48.00723,54.81368,55.03617,47.2,46.4,54.9
131.3685,71.44009,57.97558,54.28926,62.3786,99.6422,74.44918,93.02724,68.22623,68.31427,92.75348,81.92297,64.74222,69.55248,64.03802,82.10426,81.9,70.67505,74.3259,91.17018,98.13696,85.33685,62.37825,59.42689,52.01441,72.57612,69.834,71.20673,84.48363,89.7,97.8,92.6,51,54.4,53.7,61.9,60.2,55.5,74.9,75.1,76.8,48.9226,24.61887,46.67095,53.31595,53.50484,46.1,45.2,53.4
132.3328,69.8449,56.6833,53.12613,61.03819,97.50809,72.91308,91.10121,66.70041,66.61445,91.09055,80.46448,63.33571,67.9273,62.74557,80.72941,80.5,69.40934,72.76485,89.45541,96.27026,83.56107,60.79551,57.95203,50.70239,70.91255,68.14363,69.63773,82.72311,87.9,96,90.9,49.8,53,52.3,60.5,58.8,54.2,73.3,73.4,75,47.67464,24.16466,45.41781,51.88824,52.09195,45,44.1,52
133.297,68.33069,55.44023,51.99474,59.77709,95.43729,71.39657,89.23865,65.24732,65.02232,89.54337,79.06287,61.95372,66.31924,61.50196,79.43549,79.1,68.17896,71.21565,87.79388,94.47392,81.87309,59.22926,56.51573,49.43421,69.29173,66.51091,68.10874,81.00221,86.1,94.3,89.2,48.6,51.6,50.9,59.1,57.5,53,71.7,71.8,73.4,46.43618,23.74263,44.20489,50.49545,50.74625,44,43,50.7
134.2612,66.86654,54.20705,50.83535,58.53929,93.39542,69.85777,87.38367,63.81997,63.49239,88.04247,77.6627,60.558,64.69258,60.2714,78.1696,77.7,66.9381,69.64154,86.11864,92.65397,80.21725,57.65665,55.07877,48.18033,67.67316,64.89361,66.58099,79.25089,84.4,92.6,87.6,47.2,50.2,49.5,57.8,56.1,51.8,70.1,70.1,71.7,45.17715,23.2866,42.97958,49.10555,49.40571,42.9,41.9,49.3
135.2255,65.43549,52.96423,49.62054,57.28669,91.36298,68.28816,85.50671,62.39052,61.99163,86.53941,76.23283,59.13483,63.04012,59.03719,76.89391,76.3,65.66706,68.03619,84.39617,90.75697,78.56089,56.0722,53.62329,46.92968,66.04253,63.27415,65.04437,77.44173,82.8,90.9,85.9,45.9,48.9,48.1,56.4,54.7,50.5,68.5,68.4,70.1,43.89595,22.75978,41.71214,47.71095,48.03379,41.8,40.7,48
136.1897,64.04563,51.72068,48.36667,56.01219,89.35121,66.71973,83.62148,60.9623,60.51796,85.02809,74.78254,57.70648,61.39387,57.80933,75.60255,74.9,64.37883,66.4343,82.64035,88.79488,76.9118,54.49302,52.16412,45.69755,64.41924,61.66978,63.52397,75.6071,81.1,89.2,84.1,44.5,47.5,46.7,55,53.3,49.2,66.9,66.7,68.5,42.62546,22.1681,40.41557,46.33675,46.64072,40.6,39.6,46.7
137.1539,62.72531,50.50741,47.12432,54.73602,87.40189,65.21174,81.77877,59.56475,59.09777,83.53981,73.35519,56.32406,59.8141,56.61705,74.32255,73.6,63.10867,64.90002,80.90308,86.83656,75.31287,52.95235,50.74295,44.51878,62.84677,60.12337,62.06681,73.82314,79.6,87.5,82.4,43.1,46.2,45.4,53.7,51.9,48,65.3,65.1,67,41.41903,21.5507,39.14117,45.03057,45.27798,39.4,38.5,45.4
138.1182,61.50512,49.36021,45.95298,53.48905,85.57099,63.82343,80.04066,58.23455,57.76473,82.11678,72.00344,55.04495,58.36201,55.49075,73.0988,72.4,61.89312,63.49895,79.24741,84.97153,73.81721,51.48479,49.40878,43.42978,61.37069,58.67988,60.7164,72.1701,78.1,85.9,80.8,41.9,45,44.1,52.4,50.6,46.7,63.8,63.6,65.6,40.32355,20.95419,37.9525,43.83873,44.00998,38.3,37.5,44.2
139.0824,60.39745,48.30093,44.89376,52.29365,83.90423,62.58651,78.44958,56.9944,56.53356,80.78077,70.76019,53.90617,57.07042,54.44403,71.97213,71.4,60.75047,62.26768,77.71819,83.26618,72.45877,50.11115,48.1954,42.44925,60.01564,57.36166,59.48936,70.69096,76.8,84.3,79.3,40.8,43.9,43,51.3,49.4,45.6,62.5,62.2,64.2,39.35432,20.40618,36.89249,42.78185,42.87923,37.3,36.5,43
140.0466,59.38552,47.32744,43.9538,51.15336,82.41673,61.49126,77.00874,55.84058,55.38532,79.51649,69.6217,52.90749,55.92876,53.46615,70.9618,70.5,59.67367,61.19753,76.32522,81.73536,71.23385,48.83089,47.10738,41.56755,58.77325,56.15604,58.3672,69.37148,75.6,82.8,78,39.8,42.9,42,50.2,48.3,44.6,61.2,61,63,38.48563,19.90281,35.96229,41.84319,41.88454,36.5,35.7,41.9
141.0109,58.42865,46.41695,43.10917,50.05649,81.08654,60.49307,75.6838,54.74602,54.27378,78.27939,68.55172,52.01267,54.89034,52.52892,70.06048,69.6,58.63876,60.24102,75.04616,80.34298,70.10381,47.62609,46.12077,40.75014,57.60656,55.02163,57.30765,68.15147,74.4,81.4,76.8,39,42,41.1,49.1,47.3,43.6,60.1,60,61.8,37.66221,19.41648,35.12316,40.97607,40.98383,35.7,34.9,40.9
141.9751,57.48106,45.53989,42.32258,48.99008,79.86412,59.53517,74.42342,53.67577,53.1498,77.02304,67.50348,51.16728,53.89747,51.60358,69.24242,68.8,57.62331,59.33697,73.84517,79.0284,69.01581,46.47379,45.19703,39.9527,56.46814,53.90965,56.26846,66.95981,73.3,80,75.7,38.2,41,40.3,48.1,46.4,42.7,59,59,60.7,36.82567,18.91804,34.31945,40.12658,40.1188,35,34.2,39.9
142.9393,56.51398,44.67565,41.56445,47.95428,78.69229,58.57545,73.18642,52.60599,51.98988,75.72942,66.44638,50.32357,52.91077,50.67772,68.4784,67.9,56.62304,58.44074,72.69497,77.74187,67.92953,45.35991,44.30165,39.13974,55.322,52.7887,55.22995,65.75227,72.1,78.7,74.5,37.4,40.1,39.5,47.1,45.4,41.8,58,58.1,59.7,35.94147,18.39919,33.50909,39.25917,39.24677,34.3,33.4,39
143.9036,55.52907,43.82148,40.82551,46.96755,77.52644,57.60374,71.95996,51.53544,50.81231,74.42355,65.3818,49.45908,51.92633,49.76236,67.74829,67,55.65647,57.54308,71.58946,76.46859,66.83508,44.28664,43.41758,38.29763,54.15825,51.65987,54.2035,64.53143,70.9,77.4,73.4,36.7,39.2,38.7,46,44.5,41,57,57.2,58.6,35.01284,17.8816,32.68424,38.37192,38.36144,33.5,32.8,38
144.8678,54.55602,42.99015,40.11487,46.0587,76.34594,56.64179,70.75983,50.4838,49.67103,73.16335,64.33961,48.58057,50.97224,48.88529,67.04451,66.1,54.75444,56.6683,70.54078,75.22893,65.75297,43.26968,42.54733,37.43644,52.99419,50.55479,53.22161,63.33828,69.6,76.2,72.3,36,38.4,37.9,45,43.6,40.2,56.1,56.4,57.6,34.07499,17.40698,31.87118,37.49343,37.49158,32.8,32.1,37.1
145.832,53.63599,42.19874,39.44639,45.24987,75.15334,55.72741,69.61366,49.47853,48.62986,72.00977,63.35817,47.71268,50.08713,48.07444,66.36613,65.2,53.94021,55.85351,69.56412,74.05727,64.71789,42.32712,41.70412,36.58113,51.86249,49.51823,52.31583,62.22271,68.4,75.1,71.2,35.3,37.5,37.2,44,42.7,39.5,55.1,55.5,56.6,33.17431,17.01398,31.11037,36.66402,36.67972,32.1,31.5,36.3
