dsdfdgdgTest 1137 with rpet loss weight: 0.1, PCA loss weight: 0.6000000000000001, PCA range: 5, data range: 1100.0 to 1800.0, MAE: 5.476582302734377
Test 1304 with rpet loss weight: 0.0, PCA loss weight: 0.30000000000000004, PCA range: 5, data range: 600.0 to 1800.0, MAE: 6.998020901367189
Test 1982 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.7000000000000001, PCA range: 3, data range: 1100.0 to 1300.0, MAE: 5.718667568847659
Test 1109 with rpet loss weight: 0.5, PCA loss weight: 0.2, PCA range: 5, data range: 1100.0 to 1800.0, MAE: 4.064994778320314
Test 1670 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.0, PCA range: 5, data range: 200.0 to 1800.0, MAE: 3.6967269560546896
Test 2186 with rpet loss weight: 0.2, PCA loss weight: 0.1, PCA range: 4, data range: 600.0 to 1300.0, MAE: 5.387120022460939
Test 1737 with rpet loss weight: 0.1, PCA loss weight: 0.1, PCA range: 3, data range: 1200.0 to 1800.0, MAE: 6.294714321777346
Test 1617 with rpet loss weight: 0.1, PCA loss weight: 0.2, PCA range: 4, data range: 200.0 to 1800.0, MAE: 4.517403689941406
Test 1872 with rpet loss weight: 0.0, PCA loss weight: 0.2, PCA range: 5, data range: 1200.0 to 1800.0, MAE: 5.707522549316408
Test 1994 with rpet loss weight: 0.2, PCA loss weight: 0.1, PCA range: 4, data range: 1100.0 to 1300.0, MAE: 6.592369045898439
Test 1908 with rpet loss weight: 0.4, PCA loss weight: 0.6000000000000001, PCA range: 5, data range: 1200.0 to 1800.0, MAE: 5.479170193359377
Test 1453 with rpet loss weight: 0.5, PCA loss weight: 0.5, PCA range: 4, data range: 400.0 to 1800.0, MAE: 7.054827847167971
Test 952 with rpet loss weight: 0.0, PCA loss weight: 0.7000000000000001, PCA range: 5, data range: 1200.0 to 3000.0, MAE: 6.107136501953127
Test 172 with rpet loss weight: 0.4, PCA loss weight: 0.5, PCA range: 5, data range: 1100.0 to 3000.0, MAE: 3.630412575683593
Test 2211 with rpet loss weight: 0.30000000000000004, PCA loss weight: 0.4, PCA range: 4, data range: 600.0 to 1300.0, MAE: 5.255771157226562
Test 1809 with rpet loss weight: 0.1, PCA loss weight: 0.2, PCA range: 4, data range: 1200.0 to 1800.0, MAE: 4.63885342089844
Test 861 with rpet loss weight: 0.5, PCA loss weight: 0.30000000000000004, PCA range: 4, data range: 1200.0 to 3000.0, MAE: 5.354998745605471
Test 524 with rpet loss weight: 0.4, PCA loss weight: 0.1, PCA range: 5, data range: 400.0 to 3000.0, MAE: 4.831739322265625
Test 288 with rpet loss weight: 0.0, PCA loss weight: 0.4, PCA range: 4, data range: 600.0 to 3000.0, MAE: 4.5053141513671875
Test 1029 with rpet loss weight: 0.5, PCA loss weight: 0.0, PCA range: 4, data range: 1100.0 to 1800.0, MAE: 6.147206082031252
Test 2247 with rpet loss weight: 0.7000000000000001, PCA loss weight: 0.0, PCA range: 5, data range: 600.0 to 1300.0, MAE: 7.068717922851564
Test 1672 with rpet loss weight: 0.0, PCA loss weight: 0.1, PCA range: 5, data range: 200.0 to 1800.0, MAE: 4.286339741210938
Test 1182 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.30000000000000004, PCA range: 3, data range: 600.0 to 1800.0, MAE: 9.963856472656252
Test 1612 with rpet loss weight: 0.4, PCA loss weight: 0.1, PCA range: 4, data range: 200.0 to 1800.0, MAE: 4.460129518554689
Test 1262 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.5, PCA range: 4, data range: 600.0 to 1800.0, MAE: 3.4020637226562513
Test 2161 with rpet loss weight: 0.1, PCA loss weight: 0.6000000000000001, PCA range: 3, data range: 600.0 to 1300.0, MAE: 7.042657437011721
Test 560 with rpet loss weight: 0.0, PCA loss weight: 0.6000000000000001, PCA range: 5, data range: 400.0 to 3000.0, MAE: 4.3620116850585955
Test 1958 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.4, PCA range: 3, data range: 1100.0 to 1300.0, MAE: 3.7407149931640644
Test 1769 with rpet loss weight: 0.1, PCA loss weight: 0.5, PCA range: 3, data range: 1200.0 to 1800.0, MAE: 5.517165804199223
Test 2049 with rpet loss weight: 0.1, PCA loss weight: 0.0, PCA range: 5, data range: 1100.0 to 1300.0, MAE: 6.3524184843750024
Test 1082 with rpet loss weight: 0.2, PCA loss weight: 0.7000000000000001, PCA range: 4, data range: 1100.0 to 1800.0, MAE: 4.772533388183595
Test 1663 with rpet loss weight: 0.7000000000000001, PCA loss weight: 0.7000000000000001, PCA range: 4, data range: 200.0 to 1800.0, MAE: 5.237097134277346
Test 695 with rpet loss weight: 0.7000000000000001, PCA loss weight: 0.6000000000000001, PCA range: 4, data range: 200.0 to 3000.0, MAE: 8.028190579101565
Test 1059 with rpet loss weight: 0.30000000000000004, PCA loss weight: 0.4, PCA range: 4, data range: 1100.0 to 1800.0, MAE: 6.389796414062502
Test 2104 with rpet loss weight: 0.0, PCA loss weight: 0.7000000000000001, PCA range: 5, data range: 1100.0 to 1300.0, MAE: 6.2467920117187505
Test 1568 with rpet loss weight: 0.0, PCA loss weight: 0.4, PCA range: 3, data range: 200.0 to 1800.0, MAE: 6.119665493652346
Test 699 with rpet loss weight: 0.30000000000000004, PCA loss weight: 0.7000000000000001, PCA range: 4, data range: 200.0 to 3000.0, MAE: 3.625308404785156
Test 70 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.0, PCA range: 4, data range: 1100.0 to 3000.0, MAE: 4.9729217192382835
Test 2232 with rpet loss weight: 0.0, PCA loss weight: 0.7000000000000001, PCA range: 4, data range: 600.0 to 1300.0, MAE: 7.6592611328125

75 epochs:
Test 2254 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.1, PCA range: 5, data range: 600.0 to 1300.0, MAE: 5.502805139160157
Test 2055 with rpet loss weight: 0.7000000000000001, PCA loss weight: 0.0, PCA range: 5, data range: 1100.0 to 1300.0, MAE: 4.416561855957033
Test 1484 with rpet loss weight: 0.4, PCA loss weight: 0.1, PCA range: 5, data range: 400.0 to 1800.0, MAE: 6.656010403320314
Test 2221 with rpet loss weight: 0.5, PCA loss weight: 0.5, PCA range: 4, data range: 600.0 to 1300.0, MAE: 6.828507961914065
Test 567 with rpet loss weight: 0.7000000000000001, PCA loss weight: 0.6000000000000001, PCA range: 5, data range: 400.0 to 3000.0, MAE: 4.806414761230471
Test 2420 with rpet loss weight: 0.4, PCA loss weight: 0.6000000000000001, PCA range: 4, data range: 400.0 to 1300.0, MAE: 6.242875637695315
Test 541 with rpet loss weight: 0.5, PCA loss weight: 0.30000000000000004, PCA range: 5, data range: 400.0 to 3000.0, MAE: 9.531636013671877
Test 955 with rpet loss weight: 0.30000000000000004, PCA loss weight: 0.7000000000000001, PCA range: 5, data range: 1200.0 to 3000.0, MAE: 6.408125271484377
Test 1865 with rpet loss weight: 0.1, PCA loss weight: 0.1, PCA range: 5, data range: 1200.0 to 1800.0, MAE: 6.572405972167971
Test 2670 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.5, PCA range: 5, data range: 200.0 to 1300.0, MAE: 6.047613491699221
Test 2211 with rpet loss weight: 0.30000000000000004, PCA loss weight: 0.4, PCA range: 4, data range: 600.0 to 1300.0, MAE: 7.661238064453127
Test 1748 with rpet loss weight: 0.4, PCA loss weight: 0.2, PCA range: 3, data range: 1200.0 to 1800.0, MAE: 3.275594501953125
Test 2204 with rpet loss weight: 0.4, PCA loss weight: 0.30000000000000004, PCA range: 4, data range: 600.0 to 1300.0, MAE: 4.420053066894534
Test 1370 with rpet loss weight: 0.2, PCA loss weight: 0.30000000000000004, PCA range: 3, data range: 400.0 to 1800.0, MAE: 6.1473205229492205
Test 823 with rpet loss weight: 0.7000000000000001, PCA loss weight: 0.6000000000000001, PCA range: 3, data range: 1200.0 to 3000.0, MAE: 5.614556851074221
Test 609 with rpet loss weight: 0.1, PCA loss weight: 0.4, PCA range: 3, data range: 200.0 to 3000.0, MAE: 5.994087185546877
Test 645 with rpet loss weight: 0.5, PCA loss weight: 0.0, PCA range: 4, data range: 200.0 to 3000.0, MAE: 5.915554018066407
Test 118 with rpet loss weight: 0.6000000000000001, PCA loss weight: 0.6000000000000001, PCA range: 4, data range: 1100.0 to 3000.0, MAE: 9.360450710937503
Test 880 with rpet loss weight: 0.0, PCA loss weight: 0.6000000000000001, PCA range: 4, data range: 1200.0 to 3000.0, MAE: 6.058201565429689
Test 2507 with rpet loss weight: 0.30000000000000004, PCA loss weight: 0.1, PCA range: 3, data range: 200.0 to 1300.0, MAE: 5.866329164550782
Test 981 with rpet loss weight: 0.5, PCA loss weight: 0.2, PCA range: 3, data range: 1100.0 to 1800.0, MAE: 5.499266786621095
